# Generated by Autoplot on Mon Oct 10 07:28:15 CDT 2011
# {"Proton_Density": {
#    "LABEL": "Proton Density (cm-3)",
#    "UNITS": "cm-3"
# }}
# TITLE: Proton Density (/cc)
# UNITS: cm-3
Epoch (cdfEpoch), Proton_Density (cm-3)
2003-05-01T00:02:07.400Z,    4.87
2003-05-01T00:04:37.238Z,    4.58
2003-05-01T00:07:07.073Z,    3.91
2003-05-01T00:09:36.908Z,    3.85
2003-05-01T00:12:06.738Z,    4.71
2003-05-01T00:14:36.576Z,    4.97
2003-05-01T00:17:06.413Z,    5.94
2003-05-01T00:19:36.247Z,    5.08
2003-05-01T00:22:06.086Z,    4.93
2003-05-01T00:24:35.925Z,    4.20
2003-05-01T00:27:05.750Z,    5.46
2003-05-01T00:29:35.595Z,    6.22
2003-05-01T00:32:05.427Z,    5.87
2003-05-01T00:34:35.261Z,    4.08
2003-05-01T00:37:05.097Z,    5.07
2003-05-01T00:39:34.935Z,    5.02
2003-05-01T00:42:04.769Z,    4.23
2003-05-01T00:44:34.601Z,    4.00
2003-05-01T00:47:04.440Z,    4.08
2003-05-01T00:49:34.274Z,    5.03
2003-05-01T00:52:04.109Z,    4.28
2003-05-01T00:54:33.943Z,    4.23
2003-05-01T00:57:03.783Z,    6.46
2003-05-01T00:59:33.614Z,    5.69
2003-05-01T01:02:03.452Z,    4.16
2003-05-01T01:04:33.284Z,    3.54
2003-05-01T01:07:03.124Z,    5.45
2003-05-01T01:09:32.958Z,    4.38
2003-05-01T01:12:02.794Z,    5.09
2003-05-01T01:14:32.630Z,    4.81
2003-05-01T01:17:02.460Z,    4.77
2003-05-01T01:19:32.299Z,    4.43
2003-05-01T01:22:02.133Z,    4.73
2003-05-01T01:24:31.973Z,    4.01
2003-05-01T01:27:01.807Z,    3.59
2003-05-01T01:29:31.640Z,    4.19
2003-05-01T01:32:01.478Z,    4.18
2003-05-01T01:34:31.315Z,    3.26
2003-05-01T01:37:01.147Z,    4.24
2003-05-01T01:39:30.983Z,    5.37
2003-05-01T01:42:00.819Z,    4.60
2003-05-01T01:44:30.654Z,    4.29
2003-05-01T01:47:00.489Z,    3.56
2003-05-01T01:49:30.322Z,    5.73
2003-05-01T01:52:00.160Z,    3.63
2003-05-01T01:54:29.993Z,    4.61
2003-05-01T01:56:59.831Z,    3.87
2003-05-01T01:59:29.668Z,    5.31
2003-05-01T02:01:59.500Z,    4.54
2003-05-01T02:04:29.336Z,    4.81
2003-05-01T02:06:59.172Z,    5.27
2003-05-01T02:09:29.004Z,    4.64
2003-05-01T02:11:58.841Z,    4.91
2003-05-01T02:14:28.679Z,    4.57
2003-05-01T02:16:58.512Z,    4.65
2003-05-01T02:19:28.350Z,    4.48
2003-05-01T02:21:58.182Z,    4.43
2003-05-01T02:24:28.018Z,    4.38
2003-05-01T02:26:57.855Z,    4.78
2003-05-01T02:29:27.689Z,    5.59
2003-05-01T02:31:57.519Z,    4.07
2003-05-01T02:34:27.357Z,    3.89
2003-05-01T02:36:57.193Z,    4.57
2003-05-01T02:39:27.027Z,    4.50
2003-05-01T02:41:56.864Z,    4.35
2003-05-01T02:44:26.696Z,    4.25
2003-05-01T02:46:56.531Z,    4.89
2003-05-01T02:49:26.371Z,    4.15
2003-05-01T02:51:56.204Z,    4.59
2003-05-01T02:54:26.038Z,    4.70
2003-05-01T02:56:55.878Z,    4.27
2003-05-01T02:59:25.708Z,    3.21
2003-05-01T03:01:55.546Z,    4.54
2003-05-01T03:04:25.382Z,    4.55
2003-05-01T03:06:55.219Z,    4.08
2003-05-01T03:09:25.052Z,    4.16
2003-05-01T03:11:54.887Z,    4.06
2003-05-01T03:14:24.724Z,    4.17
2003-05-01T03:16:54.559Z,    4.94
2003-05-01T03:19:24.395Z,    4.51
2003-05-01T03:21:54.230Z,    4.62
2003-05-01T03:24:24.067Z,    4.06
2003-05-01T03:26:53.901Z,    4.01
2003-05-01T03:29:23.742Z,    4.17
2003-05-01T03:31:53.574Z,    3.82
2003-05-01T03:34:23.410Z,    4.33
2003-05-01T03:36:53.250Z,    4.13
2003-05-01T03:39:23.085Z,    4.06
2003-05-01T03:41:52.919Z,    4.14
2003-05-01T03:44:22.753Z,    4.82
2003-05-01T03:46:52.589Z,    4.18
2003-05-01T03:49:22.423Z,    4.49
2003-05-01T03:51:52.260Z,    4.00
2003-05-01T03:54:22.093Z,    4.16
2003-05-01T03:56:51.933Z,    4.05
2003-05-01T03:59:21.765Z,    4.42
2003-05-01T04:01:51.604Z,    4.28
2003-05-01T04:04:21.437Z,    5.52
2003-05-01T04:06:51.279Z,    4.53
2003-05-01T04:09:21.105Z,    3.85
2003-05-01T04:11:50.945Z,    4.78
2003-05-01T04:14:20.778Z,    3.91
2003-05-01T04:16:50.614Z,    3.96
2003-05-01T04:19:20.454Z,    3.73
2003-05-01T04:21:50.289Z,    3.82
2003-05-01T04:24:20.124Z,    3.32
2003-05-01T04:26:49.954Z,    3.49
2003-05-01T04:29:19.792Z,    3.65
2003-05-01T04:31:49.625Z,    3.61
2003-05-01T04:34:19.463Z,    4.29
2003-05-01T04:36:49.296Z,    3.82
2003-05-01T04:39:19.133Z,    4.13
2003-05-01T04:41:48.966Z,    3.76
2003-05-01T04:44:18.806Z,    3.64
2003-05-01T04:46:48.639Z,    4.00
2003-05-01T04:49:18.477Z,    3.55
2003-05-01T04:51:48.315Z,    3.75
2003-05-01T04:54:18.147Z,    2.77
2003-05-01T04:56:47.983Z,    3.77
2003-05-01T04:59:17.815Z,    4.18
2003-05-01T05:01:47.654Z,    3.28
2003-05-01T05:04:17.487Z,    2.80
2003-05-01T05:06:47.323Z,    3.45
2003-05-01T05:09:17.160Z,    3.21
2003-05-01T05:11:46.995Z,    3.58
2003-05-01T05:14:16.829Z,    4.02
2003-05-01T05:16:46.664Z,    3.24
2003-05-01T05:19:16.501Z,    4.85
2003-05-01T05:21:46.335Z,    3.19
2003-05-01T05:24:16.169Z,    4.24
2003-05-01T05:26:46.006Z,    3.29
2003-05-01T05:29:15.843Z,    3.46
2003-05-01T05:31:45.681Z,    3.75
2003-05-01T05:34:15.514Z,    4.13
2003-05-01T05:36:45.348Z,    4.13
2003-05-01T05:39:15.185Z,    3.73
2003-05-01T05:41:45.017Z,    3.61
2003-05-01T05:44:14.854Z,    4.19
2003-05-01T05:46:44.689Z,    3.69
2003-05-01T05:49:14.522Z,    3.92
2003-05-01T05:51:44.361Z,    2.85
2003-05-01T05:54:14.193Z,    3.43
2003-05-01T05:56:44.029Z,    3.90
2003-05-01T05:59:13.866Z,    3.41
2003-05-01T06:01:43.701Z,    3.35
2003-05-01T06:04:13.538Z,    3.58
2003-05-01T06:06:43.373Z,    3.31
2003-05-01T06:09:13.207Z,    3.43
2003-05-01T06:11:43.044Z,    3.59
2003-05-01T06:14:12.877Z,    3.59
2003-05-01T06:16:42.713Z,    3.71
2003-05-01T06:19:12.546Z,    3.71
2003-05-01T06:21:42.385Z,    3.36
2003-05-01T06:24:12.218Z,    3.71
2003-05-01T06:26:42.054Z,    3.92
2003-05-01T06:29:11.888Z,    4.18
2003-05-01T06:31:41.726Z,    4.49
2003-05-01T06:34:11.561Z,    3.57
2003-05-01T06:36:41.397Z,    2.94
2003-05-01T06:39:11.234Z,    3.61
2003-05-01T06:41:41.068Z,    2.61
2003-05-01T06:44:10.903Z,    3.34
2003-05-01T06:46:40.737Z,    3.40
2003-05-01T06:49:10.573Z,    3.68
2003-05-01T06:51:40.408Z,    3.61
2003-05-01T06:54:10.242Z,    3.37
2003-05-01T06:56:40.078Z,    3.84
2003-05-01T06:59:09.913Z,    3.61
2003-05-01T07:01:39.747Z,    3.95
2003-05-01T07:04:09.582Z,    4.01
2003-05-01T07:06:39.422Z,    3.48
2003-05-01T07:09:09.255Z,    3.97
2003-05-01T07:11:39.094Z,    3.09
2003-05-01T07:14:08.929Z,    4.10
2003-05-01T07:16:38.765Z,    3.52
2003-05-01T07:19:08.599Z,    3.03
2003-05-01T07:21:38.436Z,    3.78
2003-05-01T07:24:08.270Z,    2.38
2003-05-01T07:26:38.108Z,    3.38
2003-05-01T07:29:07.939Z,    3.65
2003-05-01T07:31:37.776Z,    3.46
2003-05-01T07:34:07.609Z,    3.66
2003-05-01T07:36:37.446Z,    3.48
2003-05-01T07:39:07.280Z,    3.06
2003-05-01T07:41:37.116Z,    3.78
2003-05-01T07:44:06.952Z,    3.26
2003-05-01T07:46:36.784Z,    2.88
2003-05-01T07:49:06.620Z,    2.76
2003-05-01T07:51:36.453Z,    3.14
2003-05-01T07:54:06.292Z,    3.48
2003-05-01T07:56:36.124Z,    3.33
2003-05-01T07:59:05.962Z,    3.41
2003-05-01T08:01:35.798Z,    3.38
2003-05-01T08:04:05.633Z,    2.97
2003-05-01T08:06:35.472Z,    3.79
2003-05-01T08:09:05.303Z,    3.41
2003-05-01T08:11:35.139Z,    3.22
2003-05-01T08:14:04.972Z,    3.26
2003-05-01T08:16:34.811Z,    2.37
2003-05-01T08:19:04.645Z,    3.07
2003-05-01T08:21:34.478Z,    3.16
2003-05-01T08:24:04.315Z,    3.05
2003-05-01T08:26:34.150Z,    3.32
2003-05-01T08:29:03.984Z,    3.42
2003-05-01T08:31:33.822Z,    3.31
2003-05-01T08:34:03.654Z,    3.61
2003-05-01T08:36:33.493Z,    3.71
