# Generated by Autoplot on Mon Oct 24 07:11:35 CDT 2011
# UNITS: R_E
#time(UTC), X (GSM), Y (GSM), Z (GSM)
2008-01-17T00:00:58.563Z, 5.8932, 2.3862, -4.782908916473389
2008-01-17T00:01:53.763Z, 5.8948, 2.3880, -4.765367031097412
2008-01-17T00:02:48.963Z, 5.8963, 2.3897, -4.74778938293457
2008-01-17T00:03:44.163Z, 5.8978, 2.3913, -4.730175971984863
2008-01-17T00:04:39.363Z, 5.8992, 2.3930, -4.712526798248291
2008-01-17T00:05:34.563Z, 5.9006, 2.3946, -4.694842338562012
2008-01-17T00:06:29.763Z, 5.9019, 2.3961, -4.677121639251709
2008-01-17T00:07:24.963Z, 5.9032, 2.3977, -4.659365653991699
2008-01-17T00:08:20.163Z, 5.9044, 2.3992, -4.641573905944824
2008-01-17T00:09:15.363Z, 5.9056, 2.4007, -4.623746395111084
2008-01-17T00:10:10.563Z, 5.9067, 2.4021, -4.605883598327637
2008-01-17T00:11:05.763Z, 5.9077, 2.4035, -4.587985515594482
2008-01-17T00:12:00.963Z, 5.9087, 2.4049, -4.570051670074463
2008-01-17T00:12:56.163Z, 5.9096, 2.4063, -4.552079200744629
2008-01-17T00:13:51.363Z, 5.9105, 2.4076, -4.53407096862793
2008-01-17T00:14:46.563Z, 5.9113, 2.4089, -4.516027450561523
2008-01-17T00:15:41.763Z, 5.9121, 2.4102, -4.497948169708252
2008-01-17T00:16:36.963Z, 5.9128, 2.4114, -4.479833602905273
2008-01-17T00:17:32.163Z, 5.9134, 2.4126, -4.461683750152588
2008-01-17T00:18:27.363Z, 5.9140, 2.4138, -4.443498611450195
2008-01-17T00:19:22.563Z, 5.9145, 2.4150, -4.4252777099609375
2008-01-17T00:20:17.763Z, 5.9150, 2.4161, -4.407021522521973
2008-01-17T00:22:08.163Z, 5.9158, 2.4183, -4.37040376663208
2008-01-17T00:23:03.363Z, 5.9161, 2.4193, -4.352041721343994
2008-01-17T00:23:58.563Z, 5.9163, 2.4203, -4.333643436431885
2008-01-17T00:24:53.763Z, 5.9165, 2.4213, -4.315207481384277
2008-01-17T00:25:48.963Z, 5.9166, 2.4222, -4.296736240386963
2008-01-17T00:26:44.163Z, 5.9166, 2.4231, -4.2782301902771
2008-01-17T00:27:39.363Z, 5.9166, 2.4240, -4.259688377380371
2008-01-17T00:28:34.563Z, 5.9166, 2.4249, -4.241111755371094
2008-01-17T00:29:29.763Z, 5.9165, 2.4257, -4.222499847412109
2008-01-17T00:30:24.963Z, 5.9163, 2.4265, -4.203852653503418
2008-01-17T00:31:20.163Z, 5.9160, 2.4273, -4.185170650482178
2008-01-17T00:32:15.363Z, 5.9157, 2.4281, -4.166452884674072
2008-01-17T00:33:10.563Z, 5.9154, 2.4288, -4.147700309753418
2008-01-17T00:34:05.763Z, 5.9149, 2.4295, -4.128912925720215
2008-01-17T00:35:00.963Z, 5.9144, 2.4301, -4.110090255737305
2008-01-17T00:35:56.163Z, 5.9139, 2.4308, -4.091229438781738
2008-01-17T00:36:51.363Z, 5.9133, 2.4314, -4.072333335876465
2008-01-17T00:37:46.563Z, 5.9126, 2.4320, -4.053401947021484
2008-01-17T00:38:41.763Z, 5.9118, 2.4325, -4.034435749053955
2008-01-17T00:39:36.963Z, 5.9110, 2.4330, -4.015434265136719
2008-01-17T00:40:32.163Z, 5.9102, 2.4335, -3.9963977336883545
2008-01-17T00:41:27.363Z, 5.9092, 2.4340, -3.9773263931274414
2008-01-17T00:42:22.563Z, 5.9082, 2.4344, -3.9582200050354004
2008-01-17T00:43:17.763Z, 5.9072, 2.4349, -3.9390785694122314
2008-01-17T00:44:12.963Z, 5.9060, 2.4352, -3.9199020862579346
2008-01-17T00:45:08.163Z, 5.9049, 2.4356, -3.900690793991089
2008-01-17T00:46:03.363Z, 5.9036, 2.4359, -3.8814444541931152
2008-01-17T00:46:58.563Z, 5.9023, 2.4363, -3.8621621131896973
2008-01-17T00:47:53.763Z, 5.9009, 2.4365, -3.8428425788879395
2008-01-17T00:48:48.963Z, 5.8994, 2.4368, -3.8234879970550537
2008-01-17T00:49:44.163Z, 5.8979, 2.4370, -3.804098606109619
2008-01-17T00:50:39.363Z, 5.8963, 2.4372, -3.7846744060516357
2008-01-17T00:51:34.563Z, 5.8947, 2.4374, -3.7652151584625244
2008-01-17T00:52:29.763Z, 5.8930, 2.4375, -3.7457211017608643
2008-01-17T00:53:24.963Z, 5.8912, 2.4377, -3.7261922359466553
2008-01-17T00:54:20.163Z, 5.8893, 2.4378, -3.7066283226013184
2008-01-17T00:55:15.363Z, 5.8874, 2.4378, -3.6870296001434326
2008-01-17T00:56:10.563Z, 5.8854, 2.4379, -3.667396306991577
2008-01-17T00:57:05.763Z, 5.8834, 2.4379, -3.6477279663085938
2008-01-17T00:58:00.963Z, 5.8812, 2.4379, -3.6280248165130615
2008-01-17T00:58:56.163Z, 5.8791, 2.4379, -3.6082839965820312
2008-01-17T00:59:51.363Z, 5.8768, 2.4378, -3.588508129119873
2008-01-17T01:00:46.563Z, 5.8744, 2.4377, -3.568697214126587
2008-01-17T01:01:41.763Z, 5.8720, 2.4376, -3.548851490020752
2008-01-17T01:02:36.963Z, 5.8696, 2.4375, -3.528970956802368
2008-01-17T01:03:32.163Z, 5.8670, 2.4373, -3.5090558528900146
2008-01-17T01:04:27.363Z, 5.8644, 2.4371, -3.4891059398651123
2008-01-17T01:05:22.563Z, 5.8617, 2.4369, -3.469121217727661
2008-01-17T01:06:17.763Z, 5.8590, 2.4367, -3.4491019248962402
2008-01-17T01:07:12.963Z, 5.8561, 2.4364, -3.4290478229522705
2008-01-17T01:08:08.163Z, 5.8532, 2.4361, -3.408958911895752
2008-01-17T01:09:03.363Z, 5.8503, 2.4358, -3.3888354301452637
2008-01-17T01:09:58.563Z, 5.8472, 2.4355, -3.36867618560791
2008-01-17T01:10:53.763Z, 5.8441, 2.4351, -3.348480224609375
2008-01-17T01:11:48.963Z, 5.8409, 2.4347, -3.328249216079712
2008-01-17T01:12:44.163Z, 5.8376, 2.4343, -3.307983875274658
2008-01-17T01:13:39.363Z, 5.8343, 2.4339, -3.2876837253570557
2008-01-17T01:14:34.563Z, 5.8309, 2.4334, -3.2673490047454834
2008-01-17T01:15:29.763Z, 5.8274, 2.4330, -3.2469797134399414
2008-01-17T01:16:24.963Z, 5.8238, 2.4325, -3.2265758514404297
2008-01-17T01:17:20.163Z, 5.8202, 2.4319, -3.206137180328369
2008-01-17T01:18:15.363Z, 5.8164, 2.4314, -3.185664176940918
2008-01-17T01:19:10.563Z, 5.8126, 2.4308, -3.165156602859497
2008-01-17T01:20:05.763Z, 5.8088, 2.4302, -3.1446144580841064
2008-01-17T01:21:00.963Z, 5.8048, 2.4296, -3.124037742614746
2008-01-17T01:21:56.163Z, 5.8008, 2.4289, -3.103423833847046
2008-01-17T01:22:51.363Z, 5.7967, 2.4282, -3.0827748775482178
2008-01-17T01:23:46.563Z, 5.7925, 2.4275, -3.062091588973999
2008-01-17T01:24:41.763Z, 5.7882, 2.4268, -3.0413737297058105
2008-01-17T01:25:36.963Z, 5.7839, 2.4261, -3.0206212997436523
2008-01-17T01:26:32.163Z, 5.7795, 2.4253, -2.9998345375061035
2008-01-17T01:27:27.363Z, 5.7750, 2.4245, -2.979013442993164
2008-01-17T01:28:22.563Z, 5.7704, 2.4237, -2.958158016204834
2008-01-17T01:29:17.763Z, 5.7657, 2.4229, -2.937268018722534
2008-01-17T01:30:12.963Z, 5.7610, 2.4220, -2.9163436889648438
2008-01-17T01:31:08.163Z, 5.7562, 2.4211, -2.895385265350342
2008-01-17T01:32:03.363Z, 5.7513, 2.4202, -2.87439227104187
2008-01-17T01:32:58.563Z, 5.7463, 2.4193, -2.8533642292022705
2008-01-17T01:33:53.763Z, 5.7412, 2.4183, -2.8322997093200684
2008-01-17T01:34:48.963Z, 5.7361, 2.4173, -2.8112006187438965
2008-01-17T01:35:44.162Z, 5.7309, 2.4163, -2.7900679111480713
2008-01-17T01:36:39.362Z, 5.7255, 2.4153, -2.7689008712768555
2008-01-17T01:37:34.562Z, 5.7201, 2.4143, -2.74769926071167
2008-01-17T01:38:29.762Z, 5.7146, 2.4132, -2.726463794708252
2008-01-17T01:39:24.962Z, 5.7091, 2.4121, -2.7051942348480225
2008-01-17T01:40:20.162Z, 5.7034, 2.4110, -2.6838905811309814
2008-01-17T01:41:15.362Z, 5.6977, 2.4098, -2.662552833557129
2008-01-17T01:42:10.562Z, 5.6919, 2.4087, -2.641180992126465
2008-01-17T01:43:05.762Z, 5.6859, 2.4075, -2.6197752952575684
2008-01-17T01:44:00.962Z, 5.6799, 2.4063, -2.5983357429504395
2008-01-17T01:44:56.162Z, 5.6739, 2.4050, -2.576859474182129
2008-01-17T01:45:51.362Z, 5.6677, 2.4038, -2.5553488731384277
2008-01-17T01:46:46.562Z, 5.6614, 2.4025, -2.533804416656494
2008-01-17T01:47:41.762Z, 5.6551, 2.4012, -2.512226104736328
2008-01-17T01:48:36.962Z, 5.6486, 2.3999, -2.4906139373779297
2008-01-17T01:49:32.162Z, 5.6421, 2.3985, -2.468968391418457
2008-01-17T01:50:27.362Z, 5.6354, 2.3972, -2.447288751602173
2008-01-17T01:51:22.562Z, 5.6287, 2.3958, -2.4255757331848145
2008-01-17T01:52:17.762Z, 5.6219, 2.3944, -2.4038290977478027
2008-01-17T01:53:12.962Z, 5.6150, 2.3929, -2.382049083709717
2008-01-17T01:54:08.162Z, 5.6080, 2.3915, -2.3602352142333984
2008-01-17T01:55:03.362Z, 5.6010, 2.3900, -2.338388204574585
2008-01-17T01:55:58.562Z, 5.5938, 2.3885, -2.3165066242218018
2008-01-17T01:56:53.762Z, 5.5865, 2.3870, -2.2945897579193115
2008-01-17T01:57:48.962Z, 5.5791, 2.3854, -2.272639274597168
2008-01-17T01:58:44.162Z, 5.5717, 2.3838, -2.2506558895111084
2008-01-17T01:59:39.362Z, 5.5641, 2.3822, -2.2286391258239746
2008-01-17T02:00:34.562Z, 5.5565, 2.3806, -2.2065892219543457
2008-01-17T02:01:29.762Z, 5.5487, 2.3790, -2.184506416320801
2008-01-17T02:02:24.962Z, 5.5409, 2.3773, -2.1623904705047607
2008-01-17T02:03:20.162Z, 5.5329, 2.3756, -2.140241861343384
2008-01-17T02:04:15.362Z, 5.5249, 2.3739, -2.1180601119995117
2008-01-17T02:05:10.562Z, 5.5168, 2.3722, -2.0958456993103027
2008-01-17T02:06:05.762Z, 5.5085, 2.3704, -2.073598623275757
2008-01-17T02:07:00.962Z, 5.5002, 2.3687, -2.051318645477295
2008-01-17T02:07:56.162Z, 5.4918, 2.3669, -2.029003858566284
2008-01-17T02:08:51.362Z, 5.4832, 2.3650, -2.0066559314727783
2008-01-17T02:09:46.562Z, 5.4746, 2.3632, -1.9842755794525146
2008-01-17T02:10:41.762Z, 5.4658, 2.3613, -1.9618629217147827
2008-01-17T02:11:36.962Z, 5.4570, 2.3594, -1.9394179582595825
2008-01-17T02:12:32.162Z, 5.4480, 2.3575, -1.9169409275054932
2008-01-17T02:13:27.362Z, 5.4390, 2.3556, -1.8944318294525146
2008-01-17T02:14:22.562Z, 5.4298, 2.3536, -1.871890664100647
2008-01-17T02:15:17.762Z, 5.4206, 2.3516, -1.8493176698684692
2008-01-17T02:16:12.962Z, 5.4112, 2.3496, -1.826712965965271
2008-01-17T02:17:08.162Z, 5.4017, 2.3476, -1.8040765523910522
2008-01-17T02:18:03.362Z, 5.3922, 2.3455, -1.7814085483551025
2008-01-17T02:18:58.562Z, 5.3825, 2.3434, -1.7587082386016846
2008-01-17T02:19:53.762Z, 5.3727, 2.3413, -1.7359744310379028
2008-01-17T02:20:48.962Z, 5.3628, 2.3392, -1.7132095098495483
2008-01-17T02:21:44.162Z, 5.3527, 2.3371, -1.6904133558273315
2008-01-17T02:22:39.362Z, 5.3426, 2.3349, -1.667586326599121
2008-01-17T02:23:34.562Z, 5.3324, 2.3327, -1.644728422164917
2008-01-17T02:24:29.762Z, 5.3220, 2.3304, -1.6218397617340088
2008-01-17T02:25:24.962Z, 5.3116, 2.3282, -1.598920464515686
2008-01-17T02:26:20.162Z, 5.3010, 2.3259, -1.5759707689285278
2008-01-17T02:27:15.362Z, 5.2903, 2.3236, -1.5529906749725342
2008-01-17T02:28:10.562Z, 5.2795, 2.3213, -1.5299804210662842
2008-01-17T02:29:05.762Z, 5.2686, 2.3189, -1.5069401264190674
2008-01-17T02:30:00.962Z, 5.2576, 2.3166, -1.4838699102401733
2008-01-17T02:30:56.162Z, 5.2464, 2.3142, -1.4607677459716797
2008-01-17T02:31:51.362Z, 5.2352, 2.3117, -1.4376355409622192
2008-01-17T02:32:46.562Z, 5.2238, 2.3093, -1.4144738912582397
2008-01-17T02:33:41.762Z, 5.2123, 2.3068, -1.3912830352783203
2008-01-17T02:34:36.962Z, 5.2007, 2.3043, -1.3680630922317505
2008-01-17T02:35:32.162Z, 5.1889, 2.3018, -1.3448143005371094
2008-01-17T02:36:27.362Z, 5.1771, 2.2992, -1.321536898612976
2008-01-17T02:37:22.562Z, 5.1651, 2.2966, -1.2982310056686401
2008-01-17T02:38:17.762Z, 5.1530, 2.2940, -1.2748967409133911
2008-01-17T02:39:12.962Z, 5.1407, 2.2914, -1.2515344619750977
2008-01-17T02:40:08.162Z, 5.1284, 2.2887, -1.2281442880630493
2008-01-17T02:41:03.362Z, 5.1159, 2.2860, -1.2047263383865356
2008-01-17T02:41:58.562Z, 5.1033, 2.2833, -1.181280255317688
2008-01-17T02:42:53.762Z, 5.0906, 2.2805, -1.15780508518219
2008-01-17T02:43:48.962Z, 5.0777, 2.2778, -1.1343029737472534
2008-01-17T02:44:44.162Z, 5.0647, 2.2750, -1.1107741594314575
2008-01-17T02:45:39.362Z, 5.0516, 2.2721, -1.0872188806533813
2008-01-17T02:46:34.562Z, 5.0384, 2.2693, -1.0636372566223145
2008-01-17T02:47:29.762Z, 5.0250, 2.2664, -1.040029764175415
2008-01-17T02:48:24.962Z, 5.0115, 2.2634, -1.016396403312683
2008-01-17T02:49:20.162Z, 4.9978, 2.2605, -0.9927377104759216
2008-01-17T02:50:15.362Z, 4.9841, 2.2575, -0.9690538048744202
2008-01-17T02:51:10.562Z, 4.9702, 2.2545, -0.9453449845314026
2008-01-17T02:52:05.762Z, 4.9561, 2.2515, -0.9216116070747375
2008-01-17T02:53:00.962Z, 4.9420, 2.2484, -0.8978539109230042
2008-01-17T02:53:56.162Z, 4.9276, 2.2453, -0.874070405960083
2008-01-17T02:54:51.362Z, 4.9132, 2.2421, -0.8502628207206726
2008-01-17T02:55:46.562Z, 4.8986, 2.2390, -0.8264319896697998
2008-01-17T02:56:41.762Z, 4.8838, 2.2358, -0.8025782108306885
2008-01-17T02:57:36.962Z, 4.8690, 2.2325, -0.7787017822265625
2008-01-17T02:58:32.162Z, 4.8539, 2.2293, -0.7548031806945801
2008-01-17T02:59:27.362Z, 4.8388, 2.2260, -0.7308826446533203
2008-01-17T03:00:22.562Z, 4.8235, 2.2226, -0.7069405913352966
2008-01-17T03:01:17.762Z, 4.8080, 2.2193, -0.6829774379730225
2008-01-17T03:02:12.962Z, 4.7924, 2.2159, -0.6589935421943665
2008-01-17T03:03:08.162Z, 4.7767, 2.2124, -0.634989321231842
2008-01-17T03:04:03.362Z, 4.7608, 2.2089, -0.6109651923179626
2008-01-17T03:04:58.562Z, 4.7448, 2.2054, -0.5869210362434387
2008-01-17T03:05:53.762Z, 4.7286, 2.2019, -0.5628566145896912
2008-01-17T03:06:48.962Z, 4.7122, 2.1983, -0.5387736558914185
